selected,total,duration,solving_time,instant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,"(1, 9)","(2, 10)","(3, 11)","(9, 1)","(10, 2)","(11, 3)","(12, 4)","(13, 5)","(14, 6)","(15, 7)","(16, 8)","(10, 9)","(9, 10)","(11, 10)","(10, 11)","(12, 11)","(11, 12)","(13, 12)","(12, 13)","(14, 13)","(13, 14)","(15, 14)","(14, 15)","(16, 15)","(15, 16)","(9, 16)","(16, 9)","(10, 17)","(17, 10)","(12, 17)","(17, 12)","(14, 17)","(17, 14)","(16, 17)","(17, 16)","(10, 18)","(18, 10)","(12, 18)","(18, 12)","(14, 18)","(18, 14)","(16, 18)","(18, 16)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.7,0.0,0.0,0.0,0.0,0.7,0.84,0.82,0.82,0.74,0.18,0.74,0.74,0.84,0.066,0.0,0.674,0.0,0.0,0.08,0.048,0.084,0.0,0.0,0.0,0.0,0.084,0.06,0.209,0.02,0.078,0.155,0.0,0.33,0.0,0.009,0.075,0.0,0.06,0.087,0.0,0.086,0.115,0.0165,0.0725,0.165,0.0,0.1025,0.0,0.0175,0.13,0.0415,0.0,0.0175,0.0185,0.0,0.023,0.0,0.0175
0.0,0.0,0.0,0.0,3.63564,0.8,0.4,0.7,0.0,0.0,0.0,0.0,0.7,0.84,0.82,0.72,0.72,0.18,0.74,0.74,0.84,0.078,0.0,0.674,0.0,0.0,0.08,0.048,0.084,0.0,0.0,0.0,0.0,0.084,0.06,0.209,0.02,0.073,0.13,0.0,0.33,0.0,0.009,0.075,0.0,0.06,0.087,0.0,0.086,0.115,0.0195,0.0725,0.18,0.0,0.1025,0.0,0.0175,0.13,0.041,0.0,0.0175,0.018,0.0,0.023,0.0,0.0175
0.0,0.0,0.0,0.0,4.38473,0.8,0.4,0.7,0.0,0.0,0.0,0.0,0.7,0.84,0.82,0.72,0.72,0.18,0.74,0.74,0.84,0.078,0.0,0.674,0.0,0.0,0.08,0.048,0.084,0.0,0.0,0.0,0.0,0.084,0.06,0.209,0.02,0.073,0.13,0.0,0.33,0.0,0.009,0.075,0.0,0.06,0.087,0.0,0.086,0.115,0.0195,0.0725,0.18,0.0,0.1025,0.0,0.0175,0.13,0.041,0.0,0.0175,0.018,0.0,0.023,0.0,0.0175
0.0,0.0,0.0,0.0,4.49632,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.82,0.68,0.72,0.18,0.74,0.74,0.84,0.078,0.0,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.055,0.21,0.02,0.061,0.13,0.0,0.33,0.0,0.009,0.075,0.0,0.06,0.087,0.0,0.086,0.115,0.0195,0.0725,0.18,0.0,0.1025,0.0,0.0175,0.13,0.041,0.0,0.0175,0.018,0.0,0.023,0.0,0.0175
0.0,0.0,0.0,0.0,4.89004,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.82,0.68,0.72,0.18,0.74,0.72,0.78,0.086,0.0,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.055,0.214,0.02,0.061,0.13,0.0,0.33,0.0,0.009,0.075,0.0,0.055,0.086,0.0,0.082,0.115,0.0215,0.0725,0.18,0.0,0.105,0.0,0.0175,0.1225,0.041,0.0,0.0175,0.018,0.0,0.023,0.0,0.0175
0.0,0.0,0.0,0.0,5.13259,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.82,0.7,0.7,0.18,0.74,0.72,0.78,0.086,0.0,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.055,0.214,0.02,0.062,0.135,0.0,0.33,0.0,0.009,0.075,0.0,0.055,0.086,0.0,0.082,0.115,0.0215,0.0725,0.18,0.0,0.105,0.0,0.0175,0.1225,0.0405,0.0,0.0175,0.0175,0.0,0.023,0.0,0.0175
0.0,0.0,0.0,0.0,5.22614,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.82,0.7,0.7,0.18,0.74,0.72,0.82,0.082,0.0,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.055,0.212,0.02,0.062,0.135,0.0,0.33,0.0,0.009,0.075,0.0,0.055,0.086,0.0,0.084,0.115,0.0205,0.0725,0.18,0.0,0.105,0.0,0.0125,0.1225,0.0405,0.0,0.0175,0.0175,0.0,0.023,0.0,0.0175
0.0,0.0,0.0,0.0,5.37525,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.82,0.72,0.72,0.02,0.74,0.72,0.82,0.096,0.0,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.055,0.213,0.02,0.063,0.14,0.0,0.37,0.0,0.001,0.075,0.0,0.055,0.086,0.0,0.084,0.11,0.024,0.0725,0.1975,0.0,0.105,0.0,0.0125,0.1225,0.037,0.0,0.015,0.018,0.0,0.019,0.0,0.015
0.0,0.0,0.0,0.0,5.61188,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.82,0.72,0.72,0.02,0.74,0.72,0.82,0.096,0.0,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.055,0.213,0.02,0.063,0.14,0.0,0.37,0.0,0.001,0.075,0.0,0.055,0.086,0.0,0.084,0.11,0.024,0.0725,0.1975,0.0,0.105,0.0,0.0125,0.1225,0.037,0.0,0.015,0.018,0.0,0.019,0.0,0.015
